timestamp,x,y,z
0,0.22,6.58,7.77
10,0.21,6.56,7.91
20,0.29,6.6,8.02
30,0.45,6.66,8.1
40,0.66,6.7,8.13
50,0.87,6.76,8.15
60,0.94,6.75,8.2
70,0.86,6.76,8.24
80,0.65,6.79,8.27
90,0.54,6.78,8.32
100,0.46,6.75,8.3
110,0.44,6.75,8.3
120,0.47,6.72,8.15
130,0.53,6.69,8.02
140,0.49,6.62,7.91
150,0.36,6.61,7.79
160,0.29,6.6,7.71
170,0.27,6.61,7.72
180,0.3,6.59,7.86
190,0.31,6.55,7.96
200,0.29,6.51,7.99
210,0.23,6.47,7.88
220,0.21,6.4,7.8
230,0.22,6.38,7.74
240,0.23,6.39,7.72
250,0.29,6.43,7.85
260,0.37,6.49,8.02
270,0.45,6.54,8.07
280,0.55,6.61,8.07
290,0.66,6.65,7.99
300,0.79,6.71,7.95
310,0.96,6.72,8.03
320,1.02,6.7,8.2
330,0.91,6.68,8.32
340,0.64,6.68,8.32
350,0.43,6.69,8.23
360,0.34,6.68,8.1
370,0.4,6.68,8.0
380,0.54,6.68,7.99
390,0.67,6.62,8.02
400,0.61,6.62,8.08
410,0.43,6.61,8.1
420,0.26,6.54,8.07
430,0.17,6.46,7.97
440,0.18,6.41,7.89
450,0.25,6.35,7.91
460,0.34,6.28,7.95
470,0.37,6.23,7.95
480,0.39,6.2,7.9
490,0.41,6.17,7.8
500,0.43,6.13,7.61
510,0.47,6.08,7.52
520,0.6,6.01,7.52
530,0.78,5.87,7.58
540,0.9,5.73,7.66
550,0.93,5.58,7.62
560,0.88,5.41,7.48
570,0.76,5.18,7.24
580,0.59,4.93,6.98
590,0.41,4.71,6.62
600,0.31,4.41,6.23
610,0.18,4.2,5.83
620,-0.01,4.11,5.71
630,-0.06,3.78,5.77
640,-0.36,3.5,5.42
650,-1.02,3.53,4.95
660,-1.45,3.51,4.58
670,-1.55,3.57,4.46
680,-1.31,3.61,4.68
690,-0.91,3.8,5.14
700,-0.14,4.04,5.74
710,1.41,4.16,6.31
720,3.14,4.27,6.77
730,4.71,4.46,7.12
740,6.03,4.79,7.36
750,7.03,5.18,7.83
760,7.95,5.6,8.35
770,8.89,5.82,9.04
780,9.61,5.92,9.59
790,9.99,5.92,10.25
800,10.23,6.05,10.98
810,10.67,6.28,11.89
820,11.52,6.39,12.69
830,12.28,6.16,13.26
840,12.32,5.96,13.45
850,11.45,6.06,13.29
860,10.0,6.34,13.04
870,8.56,6.54,12.74
880,7.52,6.83,12.55
890,6.74,7.06,12.67
900,5.85,7.41,12.74
910,4.61,7.57,12.66
920,3.05,7.97,12.57
930,1.55,8.22,12.92
940,0.64,8.53,13.4
950,0.16,8.57,13.64
960,-0.07,8.41,13.06
970,-0.53,8.15,12.07
980,-1.11,8.24,11.19
990,-1.47,8.18,10.95
1000,-1.55,8.05,11.08
1010,-1.64,7.83,11.2
1020,-2.17,7.69,11.04
1030,-2.89,7.73,10.45
1040,-3.46,7.4,10.22
1050,-3.32,7.37,10.08
1060,-2.16,7.11,10.05
1070,-0.97,6.64,10.02
1080,-0.73,6.28,9.58
1090,-1.42,6.12,8.78
1100,-2.36,5.9,8.03
1110,-3.1,5.65,7.41
1120,-3.59,5.3,7.01
1130,-4.13,5.0,6.85
1140,-4.67,4.81,6.75
1150,-5.05,4.56,6.72
1160,-5.21,4.28,6.69
1170,-5.21,4.2,6.52
1180,-4.96,4.05,6.46
1190,-4.61,3.85,6.59
1200,-4.25,3.7,6.89
1210,-3.98,3.51,7.27
1220,-3.99,3.41,7.64
1230,-4.21,3.38,8.02
1240,-4.3,3.45,8.4
1250,-3.99,3.48,8.73
1260,-3.22,3.36,8.88
1270,-2.22,3.28,8.65
1280,-1.25,3.22,8.3
1290,-0.69,3.17,7.87
1300,-0.61,3.27,7.49
1310,-0.7,3.43,7.32
1320,-0.68,3.62,7.32
1330,-0.6,3.65,7.49
1340,-0.53,3.66,7.61
1350,-0.64,3.71,7.62
1360,-0.71,3.88,7.5
1370,-0.57,4.03,7.3
1380,-0.23,4.18,7.05
1390,0.18,4.37,6.87
1400,0.62,4.54,6.84
1410,1.06,4.73,6.95
1420,1.6,4.91,7.03
1430,2.21,4.98,7.06
1440,2.77,4.98,6.94
