timestamp,x,y,z
0,1.69,6.6,8.2
10,1.65,6.6,8.26
20,1.61,6.64,8.24
30,1.61,6.68,8.24
40,1.57,6.61,8.18
50,1.56,6.57,8.1
60,1.49,6.53,8.05
70,1.39,6.51,8.06
80,1.38,6.49,8.03
90,1.45,6.48,8.01
100,1.53,6.5,8.01
110,1.64,6.45,7.96
120,1.71,6.43,7.86
130,1.77,6.43,7.78
140,1.85,6.41,7.67
150,1.92,6.39,7.58
160,2.1,6.38,7.6
170,2.19,6.41,7.64
180,2.23,6.39,7.63
190,2.15,6.41,7.59
200,2.1,6.42,7.62
210,2.16,6.5,7.74
220,2.24,6.57,7.88
230,2.22,6.52,7.92
240,2.14,6.53,7.93
250,2.02,6.57,7.95
260,1.95,6.56,8.01
270,1.89,6.56,8.1
280,1.88,6.55,8.18
290,1.85,6.58,8.32
300,1.85,6.48,8.4
310,1.83,6.51,8.37
320,1.86,6.45,8.26
330,1.81,6.44,8.18
340,1.77,6.41,8.08
350,1.8,6.34,7.99
360,1.84,6.33,7.96
370,1.85,6.28,8.01
380,1.94,6.31,8.11
390,1.96,6.31,8.06
400,1.89,6.31,8.05
410,1.85,6.34,8.05
420,1.93,6.22,7.93
430,2.07,6.22,7.82
440,2.24,6.13,7.78
450,2.44,6.05,7.8
460,2.62,5.95,7.86
470,2.57,5.85,8.05
480,2.39,5.98,8.32
490,2.56,5.51,8.36
500,2.92,5.21,8.02
510,3.68,4.79,7.52
520,4.41,4.48,7.48
530,4.41,4.36,7.76
540,4.47,4.14,8.2
550,4.76,4.29,8.4
560,5.36,4.25,8.14
570,6.01,4.26,8.11
580,6.25,4.32,8.37
590,6.01,4.54,9.03
600,5.83,4.8,9.78
610,5.95,4.93,10.36
620,6.06,5.04,10.84
630,5.92,5.2,11.25
640,5.06,5.42,11.49
650,3.99,5.77,11.63
660,2.83,5.94,11.37
670,1.75,6.03,10.92
680,0.58,5.97,10.27
690,-0.62,6.06,9.65
700,-1.53,6.19,9.26
710,-2.22,6.27,8.91
720,-2.85,6.27,8.62
730,-3.22,6.24,8.48
740,-3.42,6.13,8.43
750,-3.62,6.14,8.52
760,-3.82,6.03,8.66
770,-4.14,6.09,8.9
780,-4.26,6.13,9.02
790,-4.02,6.1,8.92
800,-3.81,6.03,8.7
810,-3.62,5.96,8.46
820,-3.41,5.87,8.18
830,-3.15,5.74,7.7
840,-2.95,5.65,7.18
850,-2.77,5.59,6.73
860,-2.74,5.54,6.45
870,-2.68,5.5,6.31
880,-2.66,5.42,6.21
890,-2.57,5.3,6.18
900,-2.42,5.15,6.05
910,-2.16,5.01,5.83
920,-1.84,4.9,5.6
930,-1.42,4.83,5.46
940,-0.97,4.79,5.29
950,-0.54,4.73,5.33
960,-0.29,4.65,5.64
970,-0.22,4.64,6.18
980,0.27,4.56,6.47
990,0.91,4.55,6.45
1000,0.97,4.72,6.75
1010,0.52,4.77,7.32
1020,-0.04,4.84,8.13
1030,-0.4,4.84,9.14
1040,-0.42,4.78,10.26
1050,0.15,4.87,11.14
1060,0.92,4.92,11.89
1070,1.19,4.82,12.38
1080,1.16,4.73,12.62
1090,1.36,4.61,12.63
1100,1.66,4.5,12.56
1110,2.24,4.24,12.37
1120,3.15,4.1,12.24
1130,4.48,4.04,12.41
1140,6.0,4.09,12.46
1150,7.54,4.11,12.17
1160,8.39,4.12,11.91
1170,8.5,4.16,11.71
1180,8.71,4.02,11.3
1190,8.85,3.76,10.99
1200,8.7,4.01,10.6
1210,8.48,3.79,10.07
1220,7.98,3.81,10.13
1230,7.38,3.75,10.14
1240,6.93,3.61,9.64
1250,6.8,3.44,8.8
1260,6.64,3.41,8.07
1270,6.25,3.39,7.68
1280,5.75,3.37,7.47
1290,5.27,3.42,7.32
1300,4.82,3.5,7.16
1310,4.68,3.52,6.86
1320,4.49,3.61,6.51
1330,4.01,3.64,6.21
1340,3.33,3.72,6.04
1350,2.78,3.74,5.8
1360,2.56,3.76,5.7
1370,2.64,3.79,5.71
1380,2.96,3.78,5.88
1390,3.39,3.81,6.12
1400,3.83,3.83,6.5
